DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1/1/2005,114.47,114.47,114.47,114.47,8929
1/2/2005,112.91,112.91,112.91,112.91,1242
1/3/2005,119.63,119.63,119.63,119.63,10527
1/4/2005,112.39,112.39,112.39,112.39,9553
1/5/2005,114.63,114.63,114.63,114.63,4241
1/6/2005,117.25,117.25,117.25,117.25,9146
1/7/2005,118.18,118.18,118.18,118.18,9809
1/8/2005,111.52,111.52,111.52,111.52,3569
1/9/2005,115.18,115.18,115.18,115.18,9329
1/10/2005,116.14,116.14,116.14,116.14,3020
1/11/2005,113.25,113.25,113.25,113.25,1699
1/12/2005,110.26,110.26,110.26,110.26,7167
1/13/2005,114.05,114.05,114.05,114.05,4448
1/14/2005,113.15,113.15,113.15,113.15,6110
1/15/2005,110.56,110.56,110.56,110.56,9287
1/16/2005,112.59,112.59,112.59,112.59,7994
1/17/2005,116.26,116.26,116.26,116.26,3255
1/18/2005,110.67,110.67,110.67,110.67,9850
1/19/2005,113.24,113.24,113.24,113.24,5435
1/20/2005,113.80,113.80,113.80,113.80,10584
1/21/2005,115.97,115.97,115.97,115.97,2435
1/22/2005,117.24,117.24,117.24,117.24,1524
1/23/2005,112.03,112.03,112.03,112.03,2129
1/24/2005,111.57,111.57,111.57,111.57,2901
1/25/2005,114.97,114.97,114.97,114.97,2874
1/26/2005,110.61,110.61,110.61,110.61,7853
1/27/2005,116.59,116.59,116.59,116.59,2798
1/28/2005,113.52,113.52,113.52,113.52,4995
1/29/2005,115.07,115.07,115.07,115.07,8055
1/30/2005,113.66,113.66,113.66,113.66,7615
1/31/2005,112.93,112.93,112.93,112.93,8696
2/1/2005,114.97,114.97,114.97,114.97,7818
2/2/2005,117.42,117.42,117.42,117.42,1644
2/3/2005,108.08,108.08,108.08,108.08,7133
2/4/2005,114.00,114.00,114.00,114.00,4104
2/5/2005,115.52,115.52,115.52,115.52,2310
2/6/2005,110.18,110.18,110.18,110.18,8154
2/7/2005,111.65,111.65,111.65,111.65,3349
2/8/2005,108.96,108.96,108.96,108.96,1199
2/9/2005,109.46,109.46,109.46,109.46,4379
2/10/2005,106.74,106.74,106.74,106.74,2775
