DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1/1/2005,110.58,110.58,110.58,110.58,5750
1/2/2005,113.63,113.63,113.63,113.63,9545
1/3/2005,112.13,112.13,112.13,112.13,2803
1/4/2005,114.87,114.87,114.87,114.87,8385
1/5/2005,117.23,117.23,117.23,117.23,7386
1/6/2005,119.21,119.21,119.21,119.21,5245
1/7/2005,114.16,114.16,114.16,114.16,10731
1/8/2005,115.29,115.29,115.29,115.29,6572
1/9/2005,115.89,115.89,115.89,115.89,4172
1/10/2005,110.47,110.47,110.47,110.47,3093
1/11/2005,116.34,116.34,116.34,116.34,5468
1/12/2005,114.23,114.23,114.23,114.23,1142
1/13/2005,111.80,111.80,111.80,111.80,3578
1/14/2005,117.87,117.87,117.87,117.87,4007
1/15/2005,114.88,114.88,114.88,114.88,3906
1/16/2005,114.11,114.11,114.11,114.11,1940
1/17/2005,119.18,119.18,119.18,119.18,10607
1/18/2005,117.24,117.24,117.24,117.24,6214
1/19/2005,113.52,113.52,113.52,113.52,11125
1/20/2005,116.08,116.08,116.08,116.08,1741
1/21/2005,112.67,112.67,112.67,112.67,7211
1/22/2005,118.66,118.66,118.66,118.66,2492
1/23/2005,118.60,118.60,118.60,118.60,10793
1/24/2005,116.25,116.25,116.25,116.25,8719
1/25/2005,109.07,109.07,109.07,109.07,5126
1/26/2005,113.46,113.46,113.46,113.46,6127
1/27/2005,112.23,112.23,112.23,112.23,5724
1/28/2005,113.57,113.57,113.57,113.57,7722
1/29/2005,108.17,108.17,108.17,108.17,4543
1/30/2005,114.04,114.04,114.04,114.04,10947
1/31/2005,111.24,111.24,111.24,111.24,3226
2/1/2005,109.35,109.35,109.35,109.35,5577
2/2/2005,108.75,108.75,108.75,108.75,9244
2/3/2005,111.41,111.41,111.41,111.41,6462
2/4/2005,108.60,108.60,108.60,108.60,1629
2/5/2005,108.03,108.03,108.03,108.03,7130
2/6/2005,112.88,112.88,112.88,112.88,1129
2/7/2005,115.16,115.16,115.16,115.16,1727
2/8/2005,111.02,111.02,111.02,111.02,4330
2/9/2005,106.77,106.77,106.77,106.77,4057
2/10/2005,111.31,111.31,111.31,111.31,2226
2/11/2005,108.46,108.46,108.46,108.46,2278
2/12/2005,113.77,113.77,113.77,113.77,11149
2/13/2005,112.89,112.89,112.89,112.89,6435
2/14/2005,109.29,109.29,109.29,109.29,2623
2/15/2005,110.34,110.34,110.34,110.34,1876
2/16/2005,109.20,109.20,109.20,109.20,8300
2/17/2005,112.52,112.52,112.52,112.52,2588
2/18/2005,109.51,109.51,109.51,109.51,6242
2/19/2005,105.11,105.11,105.11,105.11,2312
2/20/2005,109.88,109.88,109.88,109.88,3187
2/21/2005,110.58,110.58,110.58,110.58,10947
2/22/2005,107.81,107.81,107.81,107.81,9595
2/23/2005,113.41,113.41,113.41,113.41,4990
2/24/2005,110.54,110.54,110.54,110.54,5748
2/25/2005,106.18,106.18,106.18,106.18,7539
2/26/2005,107.24,107.24,107.24,107.24,3861
2/27/2005,108.48,108.48,108.48,108.48,3254
2/28/2005,113.55,113.55,113.55,113.55,1476
3/1/2005,110.36,110.36,110.36,110.36,2428
